Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Sales Method,Month,DayOfWeek,Quarter,IsWeekend,Profit_Margin,Revenue_Per_Unit,Retailer_enc,Region_enc,State_enc,City_enc,Product_enc,Target
Foot Locker,1185732,2021-11-18,Midwest,Missouri,St. Louis,Men's Athletic Footwear,25.0,350,8750,3063,In-store,11,3,4,0,35.01,25.0,1,0,24,49,1,0
West Gear,1185732,2021-05-12,West,Utah,Salt Lake City,Women's Street Footwear,25.0,350,8750,3063,In-store,5,2,2,0,35.01,25.0,5,4,43,45,5,0
West Gear,1185732,2021-09-12,West,Utah,Salt Lake City,Women's Street Footwear,10.0,350,3500,1225,In-store,9,6,3,1,35.0,10.0,5,4,43,45,5,0
Amazon,1185732,2021-04-10,Midwest,Ohio,Columbus,Women's Athletic Footwear,25.0,350,8750,3500,Online,4,5,2,1,40.0,25.0,0,0,34,14,4,1
Walmart,1185732,2021-10-18,South,Mississippi,Jackson,Women's Athletic Footwear,25.0,350,8750,3500,Online,10,0,4,0,40.0,25.0,4,2,23,24,4,1
Sports Direct,1197831,2021-02-21,South,Mississippi,Jackson,Men's Athletic Footwear,25.0,350,8750,3063,Online,2,6,1,1,35.01,25.0,3,2,23,24,1,1
Walmart,1197831,2021-03-19,South,Arkansas,Little Rock,Women's Street Footwear,10.0,350,3500,1400,Online,3,4,1,0,40.0,10.0,4,2,3,27,5,1
Walmart,1197831,2021-03-19,South,Arkansas,Little Rock,Women's Apparel,25.0,350,8750,3500,Online,3,4,1,0,40.0,25.0,4,2,3,27,3,1
Walmart,1197831,2021-09-19,South,Arkansas,Little Rock,Women's Street Footwear,15.0,350,5250,2100,Online,9,6,3,1,40.0,15.0,4,2,3,27,5,1
West Gear,1197831,2021-02-21,South,Oklahoma,Oklahoma City,Women's Apparel,20.0,350,7000,2800,Online,2,6,1,1,40.0,20.0,5,2,35,37,3,1
West Gear,1197831,2021-10-21,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,20.0,350,7000,2450,Online,10,3,4,0,35.0,20.0,5,2,35,37,1,1
Kohl's,1197831,2021-01-16,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,25.0,350,8750,3063,Online,1,5,1,1,35.01,25.0,2,2,35,37,1,1
Kohl's,1197831,2021-01-16,South,Oklahoma,Oklahoma City,Women's Street Footwear,15.0,350,5250,1838,Online,1,5,1,1,35.01,15.0,2,2,35,37,5,1
Kohl's,1197831,2021-01-16,South,Oklahoma,Oklahoma City,Women's Apparel,25.0,350,8750,3063,Online,1,5,1,1,35.01,25.0,2,2,35,37,3,1
West Gear,1185732,2021-02-17,Northeast,West Virginia,Charleston,Women's Apparel,25.0,350,8750,3500,In-store,2,2,1,0,40.0,25.0,5,1,47,10,3,0
Foot Locker,1185732,2020-01-03,Northeast,New York,New York,Women's Street Footwear,32.0,350,1120,414,Outlet,1,4,1,0,36.96,3.2,1,1,31,35,5,2
Foot Locker,1185732,2020-01-24,Northeast,New York,New York,Women's Apparel,36.0,350,1260,365,Outlet,1,4,1,0,28.97,3.6,1,1,31,35,3,2
Walmart,1185732,2020-04-20,Northeast,New York,New York,Men's Athletic Footwear,43.0,350,1505,497,Outlet,4,0,2,0,33.02,4.3,4,1,31,35,1,2
Walmart,1185732,2020-04-24,Northeast,New York,New York,Women's Apparel,45.0,350,1575,473,Outlet,4,4,2,0,30.03,4.5,4,1,31,35,3,2
Walmart,1197831,2020-08-23,South,Texas,Houston,Women's Apparel,38.0,350,1330,758,Outlet,8,6,3,1,56.99,3.8,4,2,42,22,3,2
Foot Locker,1185732,2021-01-09,Southeast,Georgia,Atlanta,Men's Street Footwear,26.0,349,907,426,Outlet,1,5,1,1,46.97,2.6,1,3,9,3,2,2
Foot Locker,1185732,2020-03-09,Northeast,New York,New York,Women's Apparel,46.0,347,1596,511,Outlet,3,0,1,0,32.02,4.6,1,1,31,35,3,2
West Gear,1185732,2021-11-11,West,Utah,Salt Lake City,Women's Street Footwear,20.0,345,6900,2415,In-store,11,3,4,0,35.0,20.0,5,4,43,45,5,0
West Gear,1128299,2021-01-06,West,California,San Francisco,Men's Street Footwear,41.0,341,1398,601,Outlet,1,2,1,0,42.99,4.1,5,4,4,46,2,2
Foot Locker,1185732,2020-03-05,Northeast,New York,New York,Men's Athletic Footwear,41.0,340,1394,474,Outlet,3,3,1,0,34.0,4.1,1,1,31,35,1,2
Walmart,1185732,2020-07-18,Northeast,New York,New York,Women's Apparel,48.0,340,1632,490,Outlet,7,5,3,1,30.02,4.8,4,1,31,35,3,2
West Gear,1128299,2021-01-12,West,California,San Francisco,Men's Street Footwear,41.0,338,1386,527,Outlet,1,1,1,0,38.02,4.1,5,4,4,46,2,2
Foot Locker,1185732,2020-01-01,Northeast,New York,New York,Men's Street Footwear,47.0,336,1579,963,Online,1,2,1,0,60.99,4.7,1,1,31,35,2,1
Foot Locker,1185732,2020-02-05,Northeast,New York,New York,Women's Apparel,39.0,333,1299,351,Outlet,2,2,1,0,27.02,3.9,1,1,31,35,3,2
Walmart,1185732,2020-05-05,Northeast,New York,New York,Women's Street Footwear,42.0,333,1399,559,Outlet,5,1,2,0,39.96,4.2,4,1,31,35,5,2
Walmart,1197831,2020-10-26,South,Texas,Houston,Men's Street Footwear,32.0,333,1066,426,Outlet,10,0,4,0,39.96,3.2,4,2,42,22,2,2
Walmart,1197831,2020-10-27,South,Texas,Houston,Men's Athletic Footwear,34.0,333,1132,476,Outlet,10,1,4,0,42.05,3.4,4,2,42,22,1,2
West Gear,1128299,2021-02-12,West,California,San Francisco,Men's Athletic Footwear,46.0,332,1527,321,Outlet,2,4,1,0,21.02,4.6,5,4,4,46,1,2
Sports Direct,1197831,2021-09-24,South,Texas,Dallas,Women's Street Footwear,35.0,332,1162,546,Outlet,9,4,3,0,46.99,3.5,3,2,42,15,5,2
Foot Locker,1185732,2020-01-06,Northeast,New York,New York,Women's Apparel,38.0,330,1254,401,Outlet,1,0,1,0,31.98,3.8,1,1,31,35,3,2
Walmart,1185732,2020-04-26,Northeast,New York,New York,Women's Apparel,50.0,330,1650,462,Outlet,4,6,2,1,28.0,5.0,4,1,31,35,3,2
Foot Locker,1185732,2021-08-06,Southeast,South Carolina,Charleston,Men's Street Footwear,62.0,326,2021,1152,Online,8,4,3,0,57.0,6.2,1,3,39,10,2,1
Foot Locker,1185732,2021-08-18,Midwest,Missouri,St. Louis,Women's Athletic Footwear,25.0,325,8125,3250,In-store,8,2,3,0,40.0,25.0,1,0,24,49,4,0
Foot Locker,1185732,2021-11-18,Midwest,Missouri,St. Louis,Women's Athletic Footwear,25.0,325,8125,3250,In-store,11,3,4,0,40.0,25.0,1,0,24,49,4,0
West Gear,1185732,2021-01-11,Midwest,Missouri,St. Louis,Women's Athletic Footwear,20.0,325,6500,2600,In-store,1,0,1,0,40.0,20.0,5,0,24,49,4,0
West Gear,1185732,2021-04-11,West,Utah,Salt Lake City,Men's Athletic Footwear,25.0,325,8125,2844,In-store,4,6,2,1,35.0,25.0,5,4,43,45,1,0
West Gear,1185732,2021-04-11,West,Utah,Salt Lake City,Women's Street Footwear,15.0,325,4875,1706,In-store,4,6,2,1,34.99,15.0,5,4,43,45,5,0
West Gear,1185732,2021-09-12,West,Utah,Salt Lake City,Women's Athletic Footwear,10.0,325,3250,1300,In-store,9,6,3,1,40.0,10.0,5,4,43,45,4,0
West Gear,1185732,2021-09-12,West,Utah,Salt Lake City,Men's Apparel,20.0,325,6500,2275,In-store,9,6,3,1,35.0,20.0,5,4,43,45,0,0
Amazon,1185732,2021-03-09,Midwest,Ohio,Columbus,Women's Athletic Footwear,25.0,325,8125,3250,Online,3,1,1,0,40.0,25.0,0,0,34,14,4,1
Foot Locker,1185732,2021-02-18,South,Mississippi,Jackson,Women's Athletic Footwear,25.0,325,8125,3250,Online,2,3,1,0,40.0,25.0,1,2,23,24,4,1
Walmart,1197831,2021-03-19,South,Arkansas,Little Rock,Men's Athletic Footwear,20.0,325,6500,2275,Online,3,4,1,0,35.0,20.0,4,2,3,27,1,1
Walmart,1197831,2021-09-19,South,Arkansas,Little Rock,Women's Athletic Footwear,15.0,325,4875,1950,Online,9,6,3,1,40.0,15.0,4,2,3,27,4,1
Walmart,1197831,2021-09-19,South,Arkansas,Little Rock,Men's Apparel,25.0,325,8125,2844,Online,9,6,3,1,35.0,25.0,4,2,3,27,0,1
West Gear,1197831,2021-02-21,South,Arkansas,Little Rock,Women's Street Footwear,15.0,325,4875,1950,Online,2,6,1,1,40.0,15.0,5,2,3,27,5,1
Kohl's,1197831,2021-02-14,Midwest,Kansas,Wichita,Women's Apparel,20.0,325,6500,2275,Online,2,6,1,1,35.0,20.0,2,0,15,50,3,1
Kohl's,1197831,2021-10-14,Midwest,Kansas,Wichita,Men's Athletic Footwear,20.0,325,6500,2275,Online,10,3,4,0,35.0,20.0,2,0,15,50,1,1
West Gear,1185732,2021-03-16,Northeast,West Virginia,Charleston,Women's Street Footwear,20.0,325,6500,2600,In-store,3,1,1,0,40.0,20.0,5,1,47,10,5,0
Foot Locker,1185732,2020-03-16,Northeast,New York,New York,Men's Street Footwear,58.0,325,1885,1150,Online,3,0,1,0,61.01,5.8,1,1,31,35,2,1
Foot Locker,1185732,2020-03-31,Northeast,New York,New York,Women's Athletic Footwear,40.0,324,1296,518,Outlet,3,1,1,0,39.97,4.0,1,1,31,35,4,2
Sports Direct,1185732,2020-05-24,Southeast,Florida,Miami,Men's Street Footwear,63.0,323,2035,1140,Online,5,6,2,1,56.02,6.3,3,3,8,31,2,1
Foot Locker,1185732,2020-01-21,Northeast,New York,New York,Women's Street Footwear,32.0,323,1034,393,Outlet,1,1,1,0,38.01,3.2,1,1,31,35,5,2
Foot Locker,1185732,2020-01-30,Northeast,New York,New York,Women's Apparel,36.0,323,1163,314,Outlet,1,3,1,0,27.0,3.6,1,1,31,35,3,2
Walmart,1197831,2020-08-19,South,Texas,Houston,Men's Athletic Footwear,33.0,323,1066,448,Outlet,8,2,3,0,42.03,3.3,4,2,42,22,1,2
Walmart,1185732,2020-05-02,Northeast,New York,New York,Women's Apparel,53.0,322,1707,478,Outlet,5,5,2,1,28.0,5.3,4,1,31,35,3,2
West Gear,1128299,2021-02-11,West,California,San Francisco,Men's Street Footwear,40.0,322,1288,425,Outlet,2,3,1,0,33.0,4.0,5,4,4,46,2,2
Sports Direct,1197831,2021-09-18,South,Texas,Dallas,Women's Street Footwear,33.0,322,1063,446,Outlet,9,5,3,1,41.96,3.3,3,2,42,15,5,2
Sports Direct,1197831,2021-04-17,South,Tennessee,Knoxville,Women's Street Footwear,30.0,322,966,483,Outlet,4,5,2,1,50.0,3.0,3,2,41,25,5,2
Sports Direct,1197831,2021-09-08,South,Alabama,Birmingham,Women's Street Footwear,31.0,322,998,559,Outlet,9,2,3,0,56.01,3.1,3,2,0,6,5,2
West Gear,1197831,2021-11-20,South,Arkansas,Little Rock,Women's Street Footwear,25.0,320,8000,3200,Online,11,5,4,1,40.0,25.0,5,2,3,27,5,1
Foot Locker,1185732,2020-01-02,Northeast,New York,New York,Men's Athletic Footwear,36.0,320,1152,403,Outlet,1,3,1,0,34.98,3.6,1,1,31,35,1,2
Foot Locker,1185732,2020-03-03,Northeast,New York,New York,Women's Apparel,44.0,320,1408,408,Outlet,3,1,1,0,28.98,4.4,1,1,31,35,3,2
Foot Locker,1185732,2020-03-10,Northeast,New York,New York,Men's Street Footwear,59.0,319,1882,1129,Online,3,1,1,0,59.99,5.9,1,1,31,35,2,1
Walmart,1197831,2020-08-26,South,Texas,Houston,Women's Street Footwear,37.0,319,1180,531,Online,8,2,3,0,45.0,3.7,4,2,42,22,5,1
Foot Locker,1185732,2020-08-12,Southeast,Florida,Miami,Men's Street Footwear,43.0,319,1372,782,Online,8,2,3,0,57.0,4.3,1,3,8,31,2,1
Foot Locker,1185732,2020-03-11,Northeast,New York,New York,Men's Athletic Footwear,41.0,318,1304,482,Outlet,3,2,1,0,36.96,4.1,1,1,31,35,1,2
Foot Locker,1185732,2020-02-06,Northeast,New York,New York,Men's Street Footwear,54.0,317,1712,1096,Online,2,3,1,0,64.02,5.4,1,1,31,35,2,1
Foot Locker,1185732,2020-01-08,Northeast,New York,New York,Men's Athletic Footwear,39.0,315,1229,405,Outlet,1,2,1,0,32.95,3.9,1,1,31,35,1,2
Foot Locker,1185732,2020-01-26,Northeast,New York,New York,Men's Athletic Footwear,35.0,315,1103,397,Outlet,1,6,1,1,35.99,3.5,1,1,31,35,1,2
Foot Locker,1185732,2020-02-01,Northeast,New York,New York,Men's Athletic Footwear,35.0,315,1103,364,Outlet,2,5,1,1,33.0,3.5,1,1,31,35,1,2
Foot Locker,1185732,2020-02-02,Northeast,New York,New York,Women's Street Footwear,28.0,315,882,335,Outlet,2,6,1,1,37.98,2.8,1,1,31,35,5,2
Walmart,1185732,2020-04-21,Northeast,New York,New York,Women's Street Footwear,36.0,315,1134,442,Outlet,4,1,2,0,38.98,3.6,4,1,31,35,5,2
Walmart,1185732,2020-04-23,Northeast,New York,New York,Men's Apparel,44.0,315,1386,513,Outlet,4,3,2,0,37.01,4.4,4,1,31,35,0,2
Walmart,1197831,2020-08-12,South,Texas,Houston,Men's Street Footwear,24.0,315,756,295,Outlet,8,2,3,0,39.02,2.4,4,2,42,22,2,2
Walmart,1197831,2020-09-07,South,Texas,Houston,Women's Street Footwear,36.0,315,1134,431,Outlet,9,0,3,0,38.01,3.6,4,2,42,22,5,2
Kohl's,1189833,2021-05-25,West,California,Los Angeles,Men's Street Footwear,39.0,315,1229,565,Outlet,5,1,2,0,45.97,3.9,2,4,4,28,2,2
Foot Locker,1185732,2020-01-27,Northeast,New York,New York,Women's Street Footwear,27.0,314,848,348,Outlet,1,0,1,0,41.04,2.7,1,1,31,35,5,2
Foot Locker,1185732,2020-03-18,Northeast,New York,New York,Women's Street Footwear,37.0,314,1162,430,Outlet,3,2,1,0,37.01,3.7,1,1,31,35,5,2
Sports Direct,1197831,2021-04-23,South,Tennessee,Knoxville,Women's Street Footwear,39.0,314,1225,576,Outlet,4,4,2,0,47.02,3.9,3,2,41,25,5,2
Foot Locker,1185732,2020-01-07,Northeast,New York,New York,Men's Street Footwear,46.0,313,1440,893,Online,1,1,1,0,62.01,4.6,1,1,31,35,2,1
Foot Locker,1185732,2020-03-04,Northeast,New York,New York,Men's Street Footwear,55.0,313,1722,1050,Online,3,2,1,0,60.98,5.5,1,1,31,35,2,1
Walmart,1185732,2020-05-03,Northeast,New York,New York,Men's Street Footwear,62.0,312,1934,1238,Online,5,6,2,1,64.01,6.2,4,1,31,35,2,1
Foot Locker,1185732,2021-02-07,Southeast,Georgia,Atlanta,Men's Street Footwear,38.0,312,1186,700,Online,2,6,1,1,59.02,3.8,1,3,9,3,2,1
Walmart,1185732,2020-04-28,Northeast,New York,New York,Men's Athletic Footwear,40.0,312,1248,449,Outlet,4,1,2,0,35.98,4.0,4,1,31,35,1,2
Foot Locker,1185732,2021-07-05,Southeast,South Carolina,Charleston,Men's Street Footwear,63.0,311,1959,1156,Online,7,0,3,0,59.01,6.3,1,3,39,10,2,1
Walmart,1185732,2020-05-04,Northeast,New York,New York,Men's Athletic Footwear,43.0,310,1333,467,Outlet,5,0,2,0,35.03,4.3,4,1,31,35,1,2
Foot Locker,1185732,2020-03-17,Northeast,New York,New York,Men's Athletic Footwear,53.0,308,1632,669,Online,3,1,1,0,40.99,5.3,1,1,31,35,1,1
Sports Direct,1185732,2021-08-03,Southeast,North Carolina,Charlotte,Men's Street Footwear,61.0,308,1879,996,Online,8,1,3,0,53.01,6.1,3,3,32,11,2,1
Foot Locker,1185732,2020-01-05,Northeast,New York,New York,Men's Apparel,43.0,306,1316,487,Outlet,1,6,1,1,37.01,4.3,1,1,31,35,0,2
Foot Locker,1185732,2020-01-23,Northeast,New York,New York,Men's Apparel,43.0,306,1316,461,Outlet,1,3,1,0,35.03,4.3,1,1,31,35,0,2
Walmart,1185732,2020-04-22,Northeast,New York,New York,Women's Athletic Footwear,34.0,306,1040,406,Outlet,4,2,2,0,39.04,3.4,4,1,31,35,4,2
Walmart,1185732,2020-05-06,Northeast,New York,New York,Women's Athletic Footwear,41.0,306,1255,502,Outlet,5,2,2,0,40.0,4.1,4,1,31,35,4,2
Sports Direct,1197831,2020-07-31,South,Texas,Houston,Men's Street Footwear,20.0,306,612,257,Outlet,7,4,3,0,41.99,2.0,3,2,42,22,2,2
Sports Direct,1197831,2020-08-06,South,Texas,Houston,Men's Street Footwear,23.0,306,704,260,Outlet,8,3,3,0,36.93,2.3,3,2,42,22,2,2
Sports Direct,1197831,2020-08-07,South,Texas,Houston,Men's Athletic Footwear,29.0,306,887,364,Outlet,8,4,3,0,41.04,2.9,3,2,42,22,1,2
Walmart,1197831,2020-10-21,South,Texas,Houston,Men's Athletic Footwear,31.0,306,949,379,Outlet,10,2,4,0,39.94,3.1,4,2,42,22,1,2
Walmart,1197831,2020-10-31,South,Texas,Houston,Women's Apparel,41.0,306,1255,690,Outlet,10,5,4,1,54.98,4.1,4,2,42,22,3,2
West Gear,1128299,2021-01-11,West,California,San Francisco,Women's Apparel,60.0,306,1836,477,Outlet,1,0,1,0,25.98,6.0,5,4,4,46,3,2
West Gear,1128299,2021-02-06,West,California,San Francisco,Men's Athletic Footwear,46.0,306,1408,282,Outlet,2,5,1,1,20.03,4.6,5,4,4,46,1,2
Kohl's,1189833,2021-05-01,West,California,Los Angeles,Men's Street Footwear,36.0,306,1102,496,Outlet,5,5,2,1,45.01,3.6,2,4,4,28,2,2
Sports Direct,1197831,2021-04-14,South,Tennessee,Knoxville,Women's Apparel,37.0,306,1132,668,Outlet,4,2,2,0,59.01,3.7,3,2,41,25,3,2
West Gear,1128299,2021-07-16,South,Louisiana,New Orleans,Men's Street Footwear,62.0,306,1897,816,Outlet,7,4,3,0,43.02,6.2,5,2,17,34,2,2
Foot Locker,1185732,2020-03-09,Northeast,New York,New York,Women's Apparel,64.0,305,1952,761,Online,3,0,1,0,38.99,6.4,1,1,31,35,3,1
Walmart,1197831,2020-08-30,South,Texas,Houston,Men's Street Footwear,27.0,305,824,305,Outlet,8,6,3,1,37.01,2.7,4,2,42,22,2,2
Walmart,1197831,2020-08-31,South,Texas,Houston,Men's Athletic Footwear,33.0,305,1007,382,Outlet,8,0,3,0,37.93,3.3,4,2,42,22,1,2
Foot Locker,1197831,2021-08-08,West,Idaho,Boise,Women's Street Footwear,39.0,305,1190,511,Outlet,8,6,3,1,42.94,3.9,1,4,11,7,5,2
West Gear,1185732,2020-09-17,Southeast,Florida,Miami,Men's Street Footwear,60.0,304,1824,1040,Online,9,3,3,0,57.02,6.0,5,3,8,31,2,1
